"Местное время в Москве (центр, Балчуг)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"14.06.2021 18:00";"28.0";"749.5";"760.0";"";"34";"Ветер, дующий с западо-северо-запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"10.8";"Осадков нет";"12";"";"";"";"";
"14.06.2021 15:00";"27.5";"749.5";"760.1";"";"35";"Ветер, дующий с западо-юго-запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"10.6";"";"";"";"";"";"";
"14.06.2021 12:00";"24.8";"749.8";"760.6";"";"46";"Ветер, дующий с северо-запада";"1";"";"";"60%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"12.4";"";"";"";"";"";"";
"14.06.2021 09:00";"24.0";"749.2";"759.9";"";"48";"Ветер, дующий с запада";"1";"";"";"50%.";" ";"";"";"17.2";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"50%.";"2500 или более, или облаков нет.";"Высококучевые башенкообразные или хлопьевидные.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"12.2";"Осадков нет";"12";"Поверхность почвы влажная.";"14.0";"";"";
"14.06.2021 06:00";"19.9";"748.3";"759.2";"";"64";"Ветер, дующий с запада";"1";"";"";"Облаков нет.";" ";"";"";"17.2";"";"";"";"";"";"";"10.0";"12.8";"Осадков нет";"12";"";"";"";"";
"14.06.2021 03:00";"17.9";"747.1";"758.1";"";"70";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"12.3";"";"";"";"";"";"";
"14.06.2021 00:00";"19.8";"746.4";"757.3";"";"68";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"13.8";"";"";"";"";"";"";
"13.06.2021 21:00";"22.6";"745.5";"756.2";"";"54";"Ветер, дующий с юго-запада";"1";"";"";"20–30%.";" ";"";"";"";"27.0";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"12.7";"Осадков нет";"12";"";"";"";"";
"13.06.2021 18:00";"25.3";"744.1";"754.8";"";"38";"Ветер, дующий с востоко-юго-востока";"1";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"9.8";"Осадков нет";"12";"";"";"";"";
"13.06.2021 15:00";"26.2";"744.1";"754.6";"";"39";"Ветер, дующий с запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"40%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"11.3";"";"";"";"";"";"";
"13.06.2021 12:00";"25.7";"744.1";"754.7";"";"40";"Ветер, дующий с востоко-юго-востока";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"11.2";"";"";"";"";"";"";
"13.06.2021 09:00";"22.5";"743.8";"754.6";"";"55";"Ветер, дующий с северо-северо-запада";"1";"";"";"50%.";" ";"";"";"16.5";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"50%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"13.1";"Осадков нет";"12";"Поверхность почвы влажная.";"14.0";"";"";
"13.06.2021 06:00";"18.2";"743.8";"754.6";"";"75";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"16.5";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"13.7";"Осадков нет";"12";"";"";"";"";
"13.06.2021 03:00";"16.9";"743.9";"754.8";"";"79";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"13.3";"";"";"";"";"";"";
"13.06.2021 00:00";"19.5";"744.2";"755.0";"";"67";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"13.1";"";"";"";"";"";"";
"12.06.2021 21:00";"20.7";"744.4";"755.2";"";"62";"Штиль, безветрие";"0";"";"";"60%.";" ";"";"";"";"22.8";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"13.2";"Осадков нет";"12";"";"";"";"";
"12.06.2021 18:00";"22.7";"744.7";"755.4";"";"54";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"13.0";"Осадков нет";"12";"";"";"";"";
"12.06.2021 15:00";"21.6";"745.5";"756.3";"";"61";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"100%.";"600-1000";"";"";"10.0";"13.6";"";"";"";"";"";"";
"12.06.2021 12:00";"19.7";"746.4";"757.3";"";"69";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"100%.";"300-600";"";"";"10.0";"13.8";"";"";"";"";"";"";
"12.06.2021 09:00";"17.4";"746.8";"757.7";"";"83";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"15.5";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"14.4";"Осадков нет";"12";"Поверхность почвы влажная.";"15.0";"";"";
"12.06.2021 06:00";"15.8";"747.1";"758.2";"";"87";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"15.5";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"13.7";"Осадков нет";"12";"";"";"";"";
"12.06.2021 03:00";"15.8";"747.5";"758.5";"";"88";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"13.8";"";"";"";"";"";"";
"12.06.2021 00:00";"16.0";"748.0";"759.0";"";"84";"Ветер, дующий с востоко-северо-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"13.2";"";"";"";"";"";"";
"11.06.2021 21:00";"17.5";"748.1";"759.1";"";"85";"Ветер, дующий с востока";"1";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"18.5";"Слоисто-кучевые, образовавшиеся из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"15.0";"1.0";"12";"";"";"";"";
"11.06.2021 18:00";"18.1";"748.3";"759.3";"";"82";"Ветер, дующий с востоко-северо-востока";"1";"";"";"100%.";"Ливневый(ые) дождь(и). ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"100%.";"300-600";"";"";"10.0";"15.0";"4.0";"12";"";"";"";"";
"11.06.2021 15:00";"17.0";"748.7";"759.7";"";"84";"Ветер, дующий с востоко-юго-востока";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"14.3";"";"";"";"";"";"";
"11.06.2021 12:00";"15.2";"748.9";"759.9";"";"86";"Ветер, дующий с востоко-северо-востока";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"12.9";"";"";"";"";"";"";
"11.06.2021 09:00";"14.0";"748.6";"759.7";"";"90";"Ветер, дующий с востоко-северо-востока";"1";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"13.4";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"300-600";"";"";"10.0";"12.4";"7.0";"12";"Поверхность почвы влажная.";"13.0";"";"";
"11.06.2021 06:00";"13.7";"748.6";"759.7";"";"86";"Ветер, дующий с востоко-северо-востока";"1";"";"";"90  или более, но не 100%";" ";"";"";"13.4";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"11.3";"4.0";"12";"";"";"";"";
"11.06.2021 03:00";"13.7";"748.5";"759.6";"";"88";"Ветер, дующий с востоко-северо-востока";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"11.7";"";"";"";"";"";"";
"11.06.2021 00:00";"13.7";"748.6";"759.7";"";"91";"Ветер, дующий с востоко-северо-востока";"1";"";"";"100%.";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"100%.";"300-600";"";"";"10.0";"12.3";"";"";"";"";"";"";
"10.06.2021 21:00";"14.4";"748.9";"760.0";"";"85";"Ветер, дующий с северо-востока";"2";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"16.2";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"300-600";"";"";"10.0";"11.9";"9.0";"12";"";"";"";"";
"10.06.2021 18:00";"15.3";"749.0";"760.0";"";"86";"Ветер, дующий с востока";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"12.9";"9.0";"12";"";"";"";"";
"10.06.2021 15:00";"14.5";"748.9";"760.0";"";"89";"Ветер, дующий с северо-востока";"2";"";"";"100%.";"Дождь незамерзающий с перерывами слабый в срок наблюдения. ";"Ливень (ливни).";"Дождь.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"12.7";"";"";"";"";"";"";
"07.06.2021 06:00";"16.8";"748.8";"759.7";"";"77";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"15.5";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"12.7";"Осадков нет";"12";"";"";"";"";
"07.06.2021 03:00";"16.2";"748.6";"759.6";"";"80";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"12.8";"";"";"";"";"";"";
"07.06.2021 00:00";"17.2";"748.9";"759.8";"";"82";"Ветер, дующий с востоко-северо-востока";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"14.1";"";"";"";"";"";"";
"06.06.2021 21:00";"18.7";"748.9";"759.9";"";"70";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"24.2";"Слоисто-кучевые, образовавшиеся из кучевых.";"100%.";"300-600";"";"";"10.0";"13.1";"6.0";"12";"";"";"";"";
"06.06.2021 18:00";"17.7";"749.0";"760.0";"";"71";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"90  или более, но не 100%";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"12.4";"6.0";"12";"";"";"";"";
"06.06.2021 15:00";"21.0";"748.8";"759.6";"";"66";"Ветер, дующий с востока";"1";"";"";"90  или более, но не 100%";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"90  или более, но не 100%";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"14.3";"";"";"";"";"";"";
"06.06.2021 12:00";"21.7";"749.8";"760.7";"";"52";"Ветер, дующий с востока";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"11.5";"";"";"";"";"";"";
"06.06.2021 09:00";"19.9";"750.2";"761.1";"";"56";"Ветер, дующий с востока";"1";"";"";"70 – 80%.";" ";"";"";"14.6";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"10.9";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"12.0";"";"";
"06.06.2021 06:00";"16.8";"750.7";"761.7";"";"67";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"14.6";"";"";"";"";"";"";"10.0";"10.7";"Осадков нет";"12";"";"";"";"";
"02.06.2021 21:00";"17.7";"756.1";"767.2";"";"38";"Ветер, дующий с северо-востока";"2";"";"";"60%.";" ";"";"";"";"21.5";"Слоисто-кучевые, образовавшиеся из кучевых.";"20–30%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"3.1";"Осадков нет";"12";"";"";"";"";
"02.06.2021 18:00";"19.2";"756.0";"767.0";"";"34";"Ветер, дующий с северо-востока";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"60%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"2.8";"Осадков нет";"12";"";"";"";"";
"02.06.2021 15:00";"20.9";"755.8";"766.8";"";"27";"Ветер, дующий с северо-северо-востока";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"1.4";"";"";"";"";"";"";
"02.06.2021 12:00";"20.1";"756.1";"767.2";"";"27";"Ветер, дующий с северо-востока";"2";"";"10";"50%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"50%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"0.5";"";"";"";"";"";"";
"02.06.2021 09:00";"17.9";"756.7";"767.8";"";"31";"Ветер, дующий с востоко-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"11.0";"";"";"";"";"";"";"10.0";"0.6";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"7.0";"";"";
"02.06.2021 06:00";"12.4";"756.1";"767.4";"";"50";"Ветер, дующий с востоко-северо-востока";"1";"";"";"40%.";" ";"";"";"11.0";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"2.2";"Осадков нет";"12";"";"";"";"";
"02.06.2021 03:00";"11.5";"755.9";"767.2";"";"50";"Ветер, дующий с востоко-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"1.3";"";"";"";"";"";"";
"02.06.2021 00:00";"13.2";"755.5";"766.8";"";"42";"Ветер, дующий с северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"0.5";"";"";"";"";"";"";
"01.06.2021 21:00";"15.5";"754.7";"765.9";"";"33";"Ветер, дующий с северо-востока";"1";"";"";"20–30%.";" ";"";"";"";"18.4";"Слоисто-кучевые, образовавшиеся из кучевых.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-0.9";"Осадков нет";"12";"";"";"";"";
"01.06.2021 18:00";"16.7";"754.0";"765.1";"";"29";"Ветер, дующий с северо-востока";"2";"";"";"40%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"40%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-1.7";"Осадков нет";"12";"";"";"";"";
"01.06.2021 15:00";"17.4";"753.9";"765.0";"";"29";"Ветер, дующий с северо-запада";"2";"";"";"60%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-0.8";"";"";"";"";"";"";
"01.06.2021 12:00";"15.5";"754.2";"765.3";"";"38";"Ветер, дующий с востоко-северо-востока";"1";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"1.0";"";"";"";"";"";"";
"01.06.2021 09:00";"13.1";"754.2";"765.4";"";"45";"Ветер, дующий с северо-востока";"1";"";"";"70 – 80%.";" ";"";"";"8.6";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"1.3";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"6.0";"";"";
"01.06.2021 06:00";"11.0";"753.8";"765.1";"";"52";"Ветер, дующий с востоко-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"8.6";"";"";"";"";"";"";"10.0";"1.5";"Осадков нет";"12";"";"";"";"";
"01.06.2021 03:00";"9.6";"753.4";"764.8";"";"62";"Ветер, дующий с северо-запада";"1";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"2.6";"";"";"";"";"";"";
"01.06.2021 00:00";"10.7";"753.5";"764.8";"";"50";"Ветер, дующий с востоко-северо-востока";"1";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"0.7";"";"";"";"";"";"";
"31.05.2021 21:00";"11.8";"753.2";"764.5";"";"46";"Ветер, дующий с востоко-северо-востока";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"14.3";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"0.5";"Осадков нет";"12";"";"";"";"";
"31.05.2021 18:00";"13.4";"753.1";"764.3";"";"44";"Ветер, дующий с востоко-юго-востока";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"50%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"1.4";"Осадков нет";"12";"";"";"";"";
"31.05.2021 15:00";"12.7";"753.5";"764.8";"";"39";"Ветер, дующий с севера";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-1.1";"";"";"";"";"";"";
"31.05.2021 12:00";"12.6";"753.8";"765.1";"";"40";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"100%.";"1000-1500";"";"";"10.0";"-0.6";"";"";"";"";"";"";
"31.05.2021 09:00";"9.9";"754.0";"765.3";"";"54";"Ветер, дующий с востока";"1";"";"";"90  или более, но не 100%";" ";"";"";"8.0";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"0.9";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"7.0";"";"";
"31.05.2021 06:00";"8.2";"753.8";"765.3";"";"58";"Ветер, дующий с востока";"1";"";"";"90  или более, но не 100%";" ";"";"";"8.1";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"0.4";"Осадков нет";"12";"";"";"";"";
"31.05.2021 03:00";"8.9";"753.5";"764.9";"";"55";"Ветер, дующий с северо-востока";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"0.2";"";"";"";"";"";"";
"31.05.2021 00:00";"8.9";"753.5";"764.9";"";"55";"Ветер, дующий с северо-востока";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"0.2";"";"";"";"";"";"";
